sep=,
"Date","Document No.","Customer Ref.","Customer","Sales Rep","Due Date","Ant. Pmt.","Exclusive","VAT","Total Selling","Total Outstanding"
"01/07/2026","INV4717","SP734189","D-Teq Air (Pty) Ltd","GP - South","30/08/2026",,"1743","261.45","2004.45","2004.45"
"01/07/2026","INV4718","FM4185","Cool Guys","GP - East","31/07/2026",,"8949","1342.35","10291.35","0"
"01/07/2026","INV4719","PO11823","Xtreme Air Control (Pty) Ltd","GP - North","30/08/2026",,"6083.82","912.57","6996.39","6996.39"
"01/07/2026","INV4720","PO116933","Boleng Mechanical Engineering Services & Consulting","GP - West","31/07/2026",,"3844.42","576.66","4421.08","4421.08"
"01/07/2026","INV4721","FM4179","ZEFS More Vision","GP - East","31/07/2026",,"9190","1378.5","10568.5","0"
"02/07/2026","INV4722","POE12858","LJ Trading & Projects (Pty) Ltd","GP - East","31/07/2026",,"148846","22326.91","171172.91","0"
"02/07/2026","INV4723","DPO-1882","Dueltron (Pty) Ltd","GP - West","30/08/2026",,"53983","8097.45","62080.45","62080.45"
"02/07/2026","INV4724","PO-100509","Airpro Fans and Blowers (Pty) Ltd","Sales Agent Airpro Fans and Blowers","30/08/2026",,"5990","898.5","6888.5","0"
"02/07/2026","INV4725","FM4164-FM4166","TESLA COMMS","GP - South","31/07/2026",,"23417","3512.55","26929.55","0"
"03/07/2026","INV4726","Cash Sale","Robust Ventilation Systems","GP - East","31/07/2026",,"842","126.3","968.3","0"
"03/07/2026","INV4727","5774/B31018/JFS","Inland Refrigeration & Air-Conditioning","SA - Free State","31/07/2026",,"6134","920.1","7054.1","0"
"06/07/2026","INV4728","FM4163","Artesian Construction","GP - East","31/07/2026",,"5229","784.35","6013.35","0"
"07/07/2026","INV4729","Cash Sale","Compre Air (Pty) Ltd","GP - West","31/07/2026",,"11135","1670.25","12805.25","0"
"07/07/2026","INV4730","PO:OA17918","Optimal Air CC","GP - North","30/08/2026",,"1454","218.1","1672.1","1672.1"
"07/07/2026","INV4731","FM4156","Kate Chishimba","ROA - Zambia","31/07/2026",,"32559.73","4883.96","37443.69","0"
"07/07/2026","INV4732","LT69880","Luft Technik (Pty) Ltd","GP - North","31/07/2026",,"5898.24","884.74","6782.98","0"
"07/07/2026","INV4733","LT69906","Luft Technik (Pty) Ltd","GP - North","31/07/2026",,"760","114","874","0"
"07/07/2026","INV4734","PO2286","Hucra Fans","Sales Agent Hucra Fans","30/08/2026",,"4061","609.15","4670.15","4670.15"
"07/07/2026","INV4735","CP105983","CASTCO PRECISION CASTINGS (PTY) LTD","SA - Western Cape","31/07/2026",,"8783","1317.45","10100.45","0"
"08/07/2026","INV4736","PO146777","Howden Power a Div of Howden Africa (Pty) LTD","GP - South","30/08/2026",,"191744","28761.6","220505.6","220505.6"
