sep=,
"Name
                     
                    Date","Reference","Status","Description","Qty","Total Selling"
"ABMS ENGINEERING",,,,,
"08/07/2026","SO4716","Invoiced",,,
,,,"RAD 315","2","6104"
"Total for SO4716",,,,"2","6104"
"11/07/2026","SO4730","Invoiced",,,
,,,"500 Diam Silencer 1.5D Podded","2","5272"
"Total for SO4730",,,,"2","5272"
"Total for ABMS ENGINEERING",,,,"4","11376"
"ADC Engineers",,,,,
"12/05/2026","SO4578","Invoiced",,,
,,,"RAD 150","1","1453"
,,,"RAD 250","1","2306"
"Total for SO4578",,,,"2","3759"
"Total for ADC Engineers",,,,"2","3759"
"AFRICA INDUSTRIAL AND MINING EQUIPMENT SUPPLIES (PTY)",,,,,
"28/07/2026","SO4775","Pending",,,
,,,"MAJAX-2 500 c/w 2,20KW 2P 380V (Bifurcated)","4","122084"
"Total for SO4775",,,,"4","122084"
"Total for AFRICA INDUSTRIAL AND MINING EQUIPMENT SUPPLIES (PTY)",,,,"4","122084"
"AGILITY ENGINEERING SERVICES (PTY) LTD",,,,,
"18/03/2026","SO4469","Invoiced",,,
,,,"MAXFLO 710/150/10 A c/w 4,00KW 4P 380V","2","60824.4"
"Total for SO4469",,,,"2","60824.4"
"Total for AGILITY ENGINEERING SERVICES (PTY) LTD",,,,"2","60824.4"
"AIRMACH SYSTEMS (Pty) Ltd",,,,,
"23/06/2026","SO4679","Invoiced",,,
,,,"V 150/6 AR","2","3990"
"Total for SO4679",,,,"2","3990"
"Total for AIRMACH SYSTEMS (Pty) Ltd",,,,"2","3990"
"ATS Tarps",,,,,
"12/06/2026","SO4660","Invoiced",,,
,,,"KAZ 120","1","3436"
"Total for SO4660",,,,"1","3436"
"Total for ATS Tarps",,,,"1","3436"
"AYANDA",,,,,
"14/04/2026","SO4522","Invoiced",,,
,,,"AT 15/15 SC - Single Unit","1","5688"
,,,"BD 15/15 T6 2.2kw 2523","1","11795"
"Total for SO4522",,,,"2","17483"
"Total for AYANDA",,,,"2","17483"
"Aberdare Cables (Pty) Ltd",,,,,
"08/06/2026","SO4646","Invoiced",,,
,,,"CMP 718 2T","3","32637"
"Total for SO4646",,,,"3","32637"
"Total for Aberdare Cables (Pty) Ltd",,,,"3","32637"
"Africa Trading (Pty) Ltd",,,,,
"28/07/2026","SO4771","Invoiced",,,
,,,"FL6 - 2' Filter: Air, Intake","1","1984"
"Total for SO4771",,,,"1","1984"
"Total for Africa Trading (Pty) Ltd",,,,"1","1984"
"Air Speration (Pty) Ltd",,,,,
"15/05/2026","SO4592","Invoiced",,,
,,,"HCT-25-2M/PL","1","4170.25"
"Total for SO4592",,,,"1","4170.25"
"09/07/2026","SO4725","Invoiced",,,
,,,"AT 12/12 SC - Single Unit","1","5775"
"Total for SO4725",,,,"1","5775"
"Total for Air Speration (Pty) Ltd",,,,"2","9945.25"
"Aircontech Technologies",,,,,
"12/05/2026","SO4579","Invoiced",,,
,,,"MAXFLO 630/250/14 A c/w 0,75KW 4P 380V - EAF 04","1","8848"
,,,"630 Diam Silencer 1.5D Podded","2","7838"
,,,"630 Diam Counter Flange","2","886"
,,,"630 Diam Mounting Feet","4","1040"
,,,"630 to 1000 NDB GREEN Neoprene Floor Mounts","8","800"
,,,"CA/LINE-20 - EAF 01","1","2457"
,,,"200 Diam Tube Silencer 600L","2","1388"
,,,"CA/LINE-25 - EAF 02","1","2687"
,,,"250 Diam Tube Silencer 600L","2","1550"
,,,"MAXFLO 315/150/10 A c/w 0,55KW 2P 380V - EAF 03","1","6197"
,,,"315 Diam Silencer 1.5D Podded","2","3490"
,,,"315 Diam Counter Flange","2","424"
,,,"315 Diam Mounting Feet","4","500"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","8","520"
,,,"KDAXIS 250 - WMF 01","1","1346"
,,,"KDAXIS 250 - WMF 02","1","1346"
,,,"KDAXIS 250 - WMF 03","1","1346"
,,,"KDAXIS 250 - WMF 04","1","1346"
"Total for SO4579",,,,"44","44009"
"Total for Aircontech Technologies",,,,"44","44009"
"Airetronic Maintenance & Sales (Pty) Ltd",,,,,
"08/05/2026","SO4573","Invoiced",,,
,,,"NEOLINEO-150/V","3","6900"
,,,"Delivery to Durban","1","760"
"Total for SO4573",,,,"4","7660"
"Total for Airetronic Maintenance & Sales (Pty) Ltd",,,,"4","7660"
"Airlec Cooling Solutions",,,,,
"07/05/2026","SO4569","Invoiced",,,
,,,"NEOLINEO-200/V","1","2953"
"Total for SO4569",,,,"1","2953"
"Total for Airlec Cooling Solutions",,,,"1","2953"
"Airpro Fans and Blowers (Pty) Ltd",,,,,
"27/03/2026","SO4490","Invoiced",,,
,,,"V 300/12 AR","1","5209"
"Total for SO4490",,,,"1","5209"
"02/07/2026","SO4700","Invoiced",,,
,,,"FL6 - 2'","2","3348"
,,,"CA6V - 2'","2","2642"
"Total for SO4700",,,,"4","5990"
"15/07/2026","SO4741","Invoiced",,,
,,,"CMA-325-2T","2","21534"
"Total for SO4741",,,,"2","21534"
"Total for Airpro Fans and Blowers (Pty) Ltd",,,,"7","32733"
"Allbro Industries (PTY) Ltd",,,,,
"13/04/2026","SO4520","Invoiced",,,
,,,"1-0350-240 P06 - 710 Motor Bracket","1","550"
,,,"Building Casing & Impeller","1","2520"
"Total for SO4520",,,,"2","3070"
"30/04/2026","SO4565","Invoiced",,,
,,,"HV 7 c/w 0.45kw 6P 380v","2","11810"
,,,"WEATHER LOUVRE 800(W)*800(H) HS NA","2","4846"
"Total for SO4565",,,,"4","16656"
"Total for Allbro Industries (PTY) Ltd",,,,"6","19726"
"Apex Engineering (PTY) Ltd",,,,,
"04/03/2026","SO4427","Invoiced",,,
,,,"CMA-426-2M","1","11480"
"Total for SO4427",,,,"1","11480"
"15/04/2026","SO4528","Invoiced",,,
,,,"DD 7-7 - 610303 - 62W 6P 230V-1Ph","2","7632"
"Total for SO4528",,,,"2","7632"
"05/05/2026","SO4562","Invoiced",,,
,,,"CMP 512 2T","1","4332"
"Total for SO4562",,,,"1","4332"
"21/05/2026","SO4602","Invoiced",,,
