sep=,
"Date","Delivery Date","Document No.","Customer Ref.","Customer","Exclusive","VAT","Total","Sales Rep","Status"
"02/03/2026","31/03/2026","SO4418","BMT-PO101571","BMT SMART SOLUTIONS (PTY) LTD","25566","3834.9","29400.9","Simon Mokgola","Invoiced"
"02/03/2026","31/03/2026","SO4419","BMT-PO101572","BMT SMART SOLUTIONS (PTY) LTD","12783","1917.45","14700.45","Simon Mokgola","Invoiced"
"02/03/2026","30/04/2026","SO4420","PO:029426 - WARRANTY CLAIM","Atlas Air Conditioning (Pty) Ltd","0","0","0","Mashudu Tshifularo","Invoiced"
"03/03/2026","03/03/2026","SO4421","PO2223","Hucra Fans","12114","1817.1","13931.1","Sales Agent Hucra Fans","Invoiced"
"03/03/2026","06/03/2026","SO4422","PO-000060075","Singita Management Company (Pty) Ltd.","27943.52","4191.53","32135.05","Mashudu Tshifularo","Invoiced"
"03/03/2026","04/03/2026","SO4423","BN-261950","BirCraft Geared Motors Linear Actuators Controls t/a Bircraft cc","9382","1407.3","10789.3","Simon Mokgola","Invoiced"
"03/03/2026","31/03/2026","SO4425","PO:01027016","VOLTEX THOHOYANDOU.","62000","9300","71300","Mashudu Tshifularo","Invoiced"
"04/03/2026","04/03/2026","SO4424","DPO-1677","Dueltron (Pty) Ltd","4865","729.75","5594.75","Mashudu Tshifularo","Invoiced"
"04/03/2026","06/03/2026","SO4426","FM3883","ZEFS More Vision","17540","2631","20171","Mashudu Tshifularo","Invoiced"
"04/03/2026","05/03/2026","SO4427","FM3896","Apex Engineering (PTY) Ltd","11480","1722","13202","Sizwe Tshabalala","Invoiced"
"04/03/2026","04/03/2026","SO4428","RAD 315 - WARRANTY CLAIM","Butec","0","0","0","Mashudu Tshifularo","Invoiced"
"05/03/2026","05/03/2026","SO4429","PO6740","B & D Aircon and Ventilation (Pty) Ltd","1768","265.2","2033.2","Sizwe Tshabalala","Invoiced"
"05/03/2026","31/03/2026","SO4430","Cash Sale","systeco Pty ltd","7898.93","1184.84","9083.77","Sizwe Tshabalala","Invoiced"
"05/03/2026","09/03/2026","SO4431","FM3899","EJ Stainless & Mildsteel Solutions","5208","781.2","5989.2","Sizwe Tshabalala","Invoiced"
"05/03/2026","31/03/2026","SO4432","FMTA4453-Revised","MBS","30125.7","4518.86","34644.56","Mashudu Tshifularo","Invoiced"
"06/03/2026","06/03/2026","SO4434","PO:0000326","Compu Cool (Pty) Ltd","5147","772.05","5919.05","Mashudu Tshifularo","Invoiced"
"06/03/2026","30/04/2026","SO4435","LINEO 250 QUIET - WARRANTY CLAIM","Hucra Fans","0","0","0","Sales Agent Hucra Fans","Invoiced"
"09/03/2026","09/03/2026","SO4436","PO-000006748","Cape Fans (Pty) Ltd","15750","2362.5","18112.5","Sizwe Tshabalala","Invoiced"
"10/03/2026","10/03/2026","SO4438","FM3905","The Pekay Group (pty)Ltd","20493","3073.95","23566.95","Simon Mokgola","Invoiced"
"10/03/2026","10/03/2026","SO4439","POEE8210","Elmecair (Pty) Ltd","12211","1831.65","14042.65","Mashudu Tshifularo","Invoiced"
"10/03/2026","01/04/2026","SO4440","PO2228","Hucra Fans","18442","2766.3","21208.3","Sales Agent Hucra Fans","Invoiced"
"10/03/2026","10/03/2026","SO4441","PO501627 - C1426-PO1584","Fans Maintenance and More (Pty) Ltd","6180","927","7107","Sales Agent Fans Maintenance and More","Invoiced"
"10/03/2026","11/03/2026","SO4442","FM3909","VIP SUPERMERCARDO LIMITADA","6626","993.9","7619.9","Sizwe - R.O.A","Invoiced"
"11/03/2026","30/04/2026","SO4443","PO:0000340","Compu Cool (Pty) Ltd","1453","217.95","1670.95","Mashudu Tshifularo","Invoiced"
"11/03/2026","11/03/2026","SO4444","MP015706","Midstone Engineering (Pty) Ltd t/a Midair Air Conditioning Control & Ventilation Supplies","12144","1821.6","13965.6","Mashudu Tshifularo","Invoiced"
"11/03/2026","13/03/2026","SO4445","PO2230","Hucra Fans","5730","859.5","6589.5","Sales Agent Hucra Fans","Invoiced"
"12/03/2026","31/03/2026","SO4447","FM3913","Gibela Trade and Invest 1247 CC t/a GTI AIR","13933","2089.95","16022.95","Simon Mokgola","Invoiced"
"12/03/2026","27/03/2026","SO4448","61713","Chabo & Joubert Air Conditioning (Pty) Ltd","73060","10959","84019","Sizwe Tshabalala","Invoiced"
"12/03/2026","12/03/2026","SO4449","FM3915","Pinnacle Airconditioning","1586","237.9","1823.9","Mashudu Tshifularo","Invoiced"
"12/03/2026","16/03/2026","SO4450","FM3914","ZEFS More Vision","8190.5","1228.58","9419.08","Mashudu Tshifularo","Invoiced"
"12/03/2026","12/03/2026","SO4451","FM3918","TS TELEKI T/A VENT SYSTEM AND PROJECTS","975.2","146.28","1121.48","Mashudu Tshifularo","Invoiced"
"13/03/2026","13/03/2026","SO4437","PO;0000334-Revised","Compu Cool (Pty) Ltd","1966","294.9","2260.9","Mashudu Tshifularo","Invoiced"
"13/03/2026","31/03/2026","SO4452","PO-2603-001-FMT","Hurricane Group","43544.2","6531.63","50075.83","Sizwe Tshabalala","Invoiced"
"13/03/2026","13/03/2026","SO4453","FM3916","ZEFS More Vision","1600","240","1840","Mashudu Tshifularo","Invoiced"
"13/03/2026","13/03/2026","SO4454","PO0000354","Compu Cool (Pty) Ltd","2187","328.05","2515.05","Mashudu Tshifularo","Invoiced"
"13/03/2026","31/03/2026","SO4455","POR80557","Venwood and Baker Electrical (Pty) Ltd","119310.66","17896.6","137207.26","Sizwe Tshabalala","Invoiced"
"16/03/2026","18/03/2026","SO4456","FM3920","ZEFS More Vision","7880.5","1182.08","9062.58","Mashudu Tshifularo","Invoiced"
"16/03/2026","17/03/2026","SO4457","DPO-1715","Dueltron (Pty) Ltd","4867","730.05","5597.05","Mashudu Tshifularo","Invoiced"
"16/03/2026","31/03/2026","SO4458","Cash Sale","Celette SA (PTY) LTD","7029.59","1054.44","8084.03","Sizwe Tshabalala","Invoiced"
"16/03/2026","16/03/2026","SO4459","PO0001323","MK Technical Services (PTY) LTD","7912","1186.8","9098.8","Simon Mokgola","Invoiced"
"16/03/2026","17/03/2026","SO4460","PO0000602 - PO 03 - MOUNT GRACE PHASE 1","ST AIR SERVICES AND MAINTENANCE (PTY) LTD","1437","215.55","1652.55","Simon Mokgola","Invoiced"
"16/03/2026","16/03/2026","SO4461","RAD 150 - WARRANTY CLAIM","Atlas Air Conditioning (Pty) Ltd","0","0","0","Mashudu Tshifularo","Invoiced"
"16/03/2026","16/03/2026","SO4462","PO:030089","Atlas Air Conditioning (Pty) Ltd","2306","345.9","2651.9","Mashudu Tshifularo","Invoiced"
"17/03/2026","20/03/2026","SO4463","PO3378","systeco Pty ltd","7067.91","1060.19","8128.1","Sizwe Tshabalala","Invoiced"
"17/03/2026","31/03/2026","SO4464","SABN","ZEFS More Vision","29755.18","4463.28","34218.46","Mashudu Tshifularo","Invoiced"
"17/03/2026","17/03/2026","SO4465","cash sale","Arctic Air (Pty) Ltd","11800","1770","13570","Mashudu Tshifularo","Invoiced"
"17/03/2026","18/03/2026","SO4466","FM3929","Nishac Industrial Suppliers","5369.4","805.41","6174.81","Mashudu Tshifularo","Invoiced"
"18/03/2026","30/04/2026","SO4467","PO0000602 - PO 03 - MOUNT GRACE PHASE 1","ST AIR SERVICES AND MAINTENANCE (PTY) LTD","0","0","0","Simon Mokgola","Invoiced"
"18/03/2026","18/03/2026","SO4468","MP015750","Midstone Engineering (Pty) Ltd t/a Midair Air Conditioning Control & Ventilation Supplies","12144","1821.6","13965.6","Mashudu Tshifularo","Invoiced"
"18/03/2026","16/04/2026","SO4469","PO0007989 - FAN MAXFLO 710","AGILITY ENGINEERING SERVICES (PTY) LTD","60824.4","9123.66","69948.06","Mashudu Tshifularo","Invoiced"
"18/03/2026","31/03/2026","SO4470","FM3932","Vigeta Pty Ltd","2187","328.05","2515.05","Simon Mokgola","Invoiced"
