sep=,
"Code","Description","Category","Last Cost","Avg. Cost","Excl. Price","Incl. Price","GP %","GP Amount","Qty on Hand","Active","Phys."
".30 Duct","300mm Diameter-10 meter Long","DUCT","R 1,500.00","1500","0","0","0","-1500","1","Yes","Yes"
"0.2543PM","0.25kW 4P 380V Pad Mount Motor","FM - MOTOR","R 1,248.00","1149.38","1211","1392.65","5.09","61.62","29","Yes","Yes"
"0.3723PM","0.37kW 2P 380V Pad Mount Motor","FM - MOTOR","R 1,309.00","1207.65","1269","1459.35","4.83","61.35","55","Yes","Yes"
"0.3741PM","0.37KW 4P 220V Pad Mount Motor","MOTORS","R 1,430.00","1430","0","0","0","-1430","1","Yes","Yes"
"0.3743PM","0.37kW 4P 380V Pad Mount Motor","FM - MOTOR","R 1,226.00","1251.89","1304","1499.6","4","52.11","42","Yes","Yes"
"0.3763PM","0.37kW 6P 380V Pad Mount Motor","MOTORS","R 0.00","0","1700","1955","0","1700","0","Yes","Yes"
"0.5523FM","0.55KW 2P 380V Foot Mount Motor","MOTORS","R 1,205.00","1205","0","0","0","-1205","1","Yes","Yes"
"0.5523PM","0.55kW 2P 380V Pad Mount Motor","FM - MOTOR","R 1,400.00","1304.81","1359","1562.85","3.99","54.19","50","Yes","Yes"
"0.552P","0.55Kw 2P 380V Pad Motor","MOTORS","R 1,359.00","1359","0","0","0","-1359","1","Yes","Yes"
"0.5541PM","0.55KW 4P 220V Pad Mount Motor","MOTORS","R 1,480.00","1480","0","0","0","-1480","1","Yes","Yes"
"0.5543PM","0.55kW 4P 380V Pad Mount Motor","FM - MOTOR","R 8,139.00","1539.27","1489","1712.35","-3.38","-50.27","70","Yes","Yes"
"0.5563PM","0.55kW 6P 380V Pad Mount Motor","MOTORS","R 0.00","0","1803","2073.45","0","1803","0","Yes","Yes"
"0.7523PM","0.75kW 2P 380V Pad Mount Motor","FM - MOTOR","R 1,641.00","1590.52","1591","1829.65","0.03","0.48","21","Yes","Yes"
"0.752P","0.75Kw 2Pole 380V Pad Mount","MOTORS","R 1,591.00","1591","0","0","0","-1591","6","Yes","Yes"
"0.7541FM","0.75Kw 220v Foot Mount","MOTORS","R 1,880.00","1880","0","0","0","-1880","1","Yes","Yes"
"0.7541PM","0.75Kw 220v Pad Mount",,"R 1,630.00","1630","0","0","0","-1630","1","Yes","Yes"
"0.7543PM","0.75kW 4P 380V Pad Mount Motor","FM - MOTOR","R 1,593.00","1445.96","1545","1776.75","6.41","99.04","48","Yes","Yes"
"0.7563PM","0.75kW 6P 380V Pad Mount Motor","MOTORS","R 1,834.00","1834","1951","2243.65","6","117","1","Yes","Yes"
"0.75kW VSD","0.75kW Variable Speed Drive","VSD","R 4,991.25","4991.25","0","0","0","-4991.25","-2","Yes","Yes"
"0.75kW VSD Enc.","0.75kW Variable Speed Drive Enclosure","VSD","R 7,257.38","7257.38","0","0","0","-7257.38","2","Yes","Yes"
"0010","SPARE MOTOR - TIRACAMINO - Vortice Spare Motor for Tiracamino 0.12kW 4P 230V",,"R 0.00","0","0","0","0","0","-21","Yes","Yes"
"008","Majax-2 800 32-E-8 Belt drive c/w 4.0kw 4P 1150rpm 380V",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"009","HVF/75N c/w 0.24kW 750mm 220V",,"R 0.00","0","0","0","0","0","-20","Yes","Yes"
"02880","PRA LOCKNUT BRASS No 0 & 1 - M20",,"R 12,812.25","4276.18","0","0","0","-4276.18","3","Yes","Yes"
"02883","PRA LOCKNUT BRASS No 3 - M32","CONSUMABLES","R 20.56","20.56","0","0","0","-20.56","2","Yes","Yes"
"053575","AFROX PICKELING PASTE AOX 1LT",,"R 520.00","520","0","0","0","-520","4","Yes","Yes"
"1 IP 65","Change IP Rating - Motor Size 90Watts 2Pole 380V to IP 65",,"R 1,004.00","1004","0","0","0","-1004","4","Yes","Yes"
"1.1.2Pad","1.1Kw 2P 380V Pad Mount Motor","MOTORS","R 3,047.00","1768.63","0","0","0","-1768.63","14","Yes","Yes"
"1.123PM","1.1kW 2P 380V Pad Mount Motor","FM - MOTOR","R 1,780.00","1726.71","1727","1986.05","0.02","0.29","22","Yes","Yes"
"1.141PM","1.1kW 4P 220V Pad Mount Motor",,"R 2,276.00","2276","0","0","0","-2276","1","Yes","Yes"
"1.143FM","1.1kW 4P 400V B3 QL3","MOTORS","R 2,050.00","1917.14","0","0","0","-1917.14","7","Yes","Yes"
"1.143PM","1.1kW 4P 380V Pad Mount Motor","FM - MOTOR","R 2,204.00","1763.98","1750","2012.5","-0.8","-13.98","75","Yes","Yes"
"1.163PM","1.1kW 6P 380V Pad Mount Motor",,"R 2,430.00","2430","2411","2772.65","-0.79","-19","2","Yes","Yes"
"1.5 kW 4P VSD","1.5kW 4 Pole Variable Speed Drive","VSD","R 0.00","0","0","0","0","0","0","Yes","Yes"
"1.523PM","1.5kW 2P 380V Pad Mount Motor","FM - MOTOR","R 2,007.00","1902.15","1946","2237.9","2.25","43.85","19","Yes","Yes"
"1.541PM","1.5KW 4P 220V Pad Mount Motor",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1.543PM","1.5kW 4P 380V Pad Mount Motor","FM - MOTOR","R 2,449.20","2736.91","2116","2433.4","-29.34","-620.91","55","Yes","Yes"
"1.563PM","1.5kW 6P 380V Pad Mount Motor","MOTORS","R 2,681.00","2681","2852","3279.8","6","171","10","Yes","Yes"
"1.583PM","1.5KW 8P 380V Pad Mount Motor",,"R 2,853.04","2853.04","0","0","0","-2853.04","1","Yes","Yes"
"1.5kW VSD","1.5kW Variable Speed Drive","VSD","R 5,996.25","5996.25","0","0","0","-5996.25","0","Yes","Yes"
"1.5kW VSD ENC.","1.5kW Variable Speed Drive Enclosure","VSD","R 7,618.69","7618.69","0","0","0","-7618.69","1","Yes","Yes"
"100/112 FR 27.8","100/112 Motor Frame - 27.8 mm OD Spacer",,"R 30.00","30","0","0","0","-30","37","Yes","Yes"
"1000 HDG","1000SC 1000mm Diam HDG Screen",,"R 876.00","876","0","0","0","-876","0","Yes","Yes"
"1000 ICS","Majax Inlet Cone & Screen",,"R 0.00","0","0","0","0","0","-2","Yes","Yes"
"1000 IMP","Impeller 1000Dia",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1000 LS","Louvre Shutter",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1000 SI","Spare Impeller",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1000 SIL","Inlet Silencer 1000 1.5D (1000mm Diameter to reduce noise on the dischargeside)",,"R 0.00","0","0","0","0","0","-1","Yes","Yes"
"1000 X 500 MM","Sand Trap Air Louver",,"R 0.00","0","0","0","0","0","-2","Yes","Yes"
"10000000","Impeller 0560mm 'B' 250A14PR19mm 080Frame",,"R 1,612.00","1612","0","0","0","-1612","1","Yes","Yes"
"10000005","SILENTBLOCKS FOR THT-125-4/8T/6-27-F300 400V",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1000002","Monthly Retainer - March 2025",,"R 4,000.00","4000","0","0","0","-4000","4","Yes","Yes"
"1000005","TURBINA CMP 616 14 LG (Impeller for CMP616-2T-0.75 230/400V)","FM - SODECA","R 999.62","1786.4","0","0","0","-1786.4","4","Yes","Yes"
"1000005.","FILTER F7 - REPLACEMENT FOR CJK/FILTER/EC-500-F7+9",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1000012","HCD 20 4M","FM - SODECA","R 4,071.00","798.59","0","0","0","-798.59","28","Yes","Yes"
"1000013","HCD 25 4M","FM - SODECA","R 1,648.12","299.66","0","0","0","-299.66","2","Yes","Yes"
"1000013.","HCD-30-4M 230V. 50/60Hz",,"R 1,635.63","1635.63","0","0","0","-1635.63","8","Yes","Yes"
"1000015","HCD 30 4M","FM - SODECA","R 2,681.25","2222.02","0","0","0","-2222.02","1","Yes","Yes"
"1000016","HCD 35 4M","FM - SODECA","R 0.00","0","0","0","0","0","15","Yes","Yes"
"1000039","HCT-25-2M/PL","FM - SODECA","R 0.00","0","0","0","0","0","8","Yes","Yes"
"1000040","HCT-25-2T/PL","FM - SODECA","R 0.00","0","0","0","0","0","5","Yes","Yes"
"1000043","HCT-25-4M/PL","FM - SODECA","R 0.00","0","0","0","0","0","8","Yes","Yes"
"1000044","HCT-25-4T/PL","FM - SODECA","R 0.00","0","0","0","0","0","3","Yes","Yes"
"1000046","HCT-31-2M/PL","FM - SODECA","R 0.00","0","0","0","0","0","9","Yes","Yes"
"1000047","HCT-31-2T/PL","FM - SODECA","R 0.00","0","0","0","0","0","4","Yes","Yes"
"1000049","HCT-31-4M/PL","FM - SODECA","R 0.00","0","0","0","0","0","8","Yes","Yes"
"100005","SILENT BLOCK THT-90-4T-5.5-14-F-300",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1000050","HCT-31-4T/PL","FM - SODECA","R 0.00","0","0","0","0","0","4","Yes","Yes"
"1000051","HCT-35-2M/PL","FM - SODECA","R 0.00","0","0","0","0","0","1","Yes","Yes"
"1000052","HCT-35-2T/PL","FM - SODECA","R 0.00","0","0","0","0","0","7","Yes","Yes"
"1000054","HCT-35-4M/PL","FM - SODECA","R 0.00","0","0","0","0","0","4","Yes","Yes"
"1000055","HCT-35-4T/PL","FM - SODECA","R 0.00","0","0","0","0","0","1","Yes","Yes"
"100081","OPTECH OUTER LENS 110 X 90",,"R 0.00","0","0","0","0","0","10","Yes","Yes"
"100083","OPTECH INNER LENS 108 X 51",,"R 0.00","0","0","0","0","0","5","Yes","Yes"
"100087","SOLAR HELMET ADJUSTABLE (84-210300-11",,"R 0.00","0","0","0","0","0","2","Yes","Yes"
"1000BDD","Back Draft Demper",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1000CF","1000 Diam Counter Flange","FM - C/FLANGE","R 425.00","502.91","696","800.4","27.74","193.09","1012","Yes","Yes"
"1000CFUG","1000 Diam Counter Flange Ungalvanised","FM - C/FLANGE","R 0.00","0","0","0","0","0","6","Yes","Yes"
"1000FB","Filter Box c/w Weather Louvre (Fresh Air)",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"1000FC","1000 Diam Flexible Connection","FM - DONKIN","R 0.00","0","0","0","0","0","0","Yes","Yes"
