Item Movement Report
Fan Movement (Pty) Ltd,,,Start Date:,01/03/2020
,,,End Date:,28/02/2027
,,,Page:,1/1
Date,Reference,Description,Customer / Supplier,Qty
.30 Duct - 300mm Diameter-10 meter Long
19/03/2024,CRN1081,Credit Note,Howden Power,1.00
29/04/2024,SIV2267,Supplier Invoice,Luft Industries Natal (Pty) Ltd,5.00
02/05/2024,INV2993,Tax Invoice,Sinter Plant Services t/a SPS,-5.00
Total for Item:,.30 Duct - 300mm Diameter-10 meter Long,,,1.00
0.2543PM - 0.25kW 4P 380V Pad Mount Motor
18/07/2024,SIV2390,Supplier Invoice,ACTOM,5.00
08/10/2024,SIV2585,Supplier Invoice,ACTOM,1.00
09/01/2025,SIV2761,Supplier Invoice,ACTOM,2.00
23/01/2025,SIV2788,Supplier Invoice,ACTOM,1.00
11/02/2025,SIV2819,Supplier Invoice,ACTOM,1.00
11/02/2025,SIV2821,Supplier Invoice,ACTOM,2.00
05/03/2025,SIV2869,Supplier Invoice,ACTOM,2.00
29/04/2025,SIV3004,Supplier Invoice,ACTOM,1.00
20/06/2025,SIV3129,Supplier Invoice,ACTOM,2.00
23/09/2025,SIV3371,Supplier Invoice,ACTOM,1.00
23/09/2025,SIV3372,Supplier Invoice,ACTOM,1.00
13/10/2025,SIV3436,Supplier Invoice,ACTOM,1.00
13/11/2025,SIV3565,Supplier Invoice,ACTOM,4.00
13/01/2026,SIV3665,Supplier Invoice,ACTOM,2.00
19/02/2026,SIV3745,Supplier Invoice,ACTOM,3.00
Total for Item:,0.2543PM - 0.25kW 4P 380V Pad Mount Motor,,,29.00
0.3723PM - 0.37kW 2P 380V Pad Mount Motor
12/06/2024,SIV2309,Supplier Invoice,ACTOM,1.00
21/06/2024,SIV2327,Supplier Invoice,ACTOM,1.00
24/06/2024,SIV2331,Supplier Invoice,ACTOM,1.00
04/07/2024,SIV2348,Supplier Invoice,ACTOM,1.00
18/07/2024,SIV2393,Supplier Invoice,ACTOM,1.00
29/08/2024,SIV2492,Supplier Invoice,ACTOM,3.00
18/09/2024,SIV2541,Supplier Invoice,ACTOM,4.00
10/10/2024,SIV2593,Supplier Invoice,ACTOM,7.00
17/10/2024,SIV2601,Supplier Invoice,ACTOM,6.00
19/11/2024,SIV2685,Supplier Invoice,ACTOM,4.00
05/02/2025,SIV2807,Supplier Invoice,ACTOM,1.00
25/02/2025,SIV2840,Supplier Invoice,ACTOM,2.00
05/03/2025,SIV2868,Supplier Invoice,ACTOM,1.00
26/03/2025,SIV2918,Supplier Invoice,ACTOM,2.00
