Purchase Orders By Item Report
Fan Movement (Pty) Ltd,,,,,,Start Date:,01/03/2020
,,,,,,End Date:,28/02/2027
,,,,,,Page:,,1/1
Date,Reference,"Order No.
",Supplier,Delivery Date,Status,Qty,Unit Price,Total Purch.
.30 Duct - 300mm Diameter-10 meter Long
26/04/2024,PO2337,FM2285,Luft Industries Natal (Pty) Ltd,30/04/2024,Invoiced,5.00,1500.00,7500.00
Total for Item:,.30 Duct - 300mm Diameter-10 meter Long,,,,,5.00,,7500.00
0.2543PM - 0.25kW 4P 380V Pad Mount Motor
17/07/2024,PO2478,FM2458-FM2460,ACTOM,31/07/2024,Invoiced,5.00,1138.00,5690.00
04/10/2024,PO2671,FM2631,ACTOM,31/10/2024,Invoiced,1.00,1138.00,1138.00
09/01/2025,PO2836,FM2816 - FM2821,ACTOM,09/01/2025,Invoiced,2.00,1138.00,2276.00
22/01/2025,PO2864,FM2843,ACTOM,28/02/2025,Invoiced,1.00,1138.00,1138.00
06/02/2025,PO2893,FM2873,ACTOM,30/03/2025,Invoiced,2.00,1138.00,2276.00
11/02/2025,PO2904,FM2896-FM2900,ACTOM,30/03/2025,Invoiced,1.00,1138.00,1138.00
04/03/2025,PO2946,FM2953-FM2955,ACTOM,30/04/2025,Invoiced,2.00,1138.00,2276.00
14/04/2025,PO3063,FM3016-3026,ACTOM,30/05/2025,Invoiced,1.00,1138.00,1138.00
09/06/2025,PO3195,FM3186-3196,ACTOM,30/07/2025,Invoiced,2.00,1138.00,2276.00
18/09/2025,PO3451,FM3442,ACTOM,23/09/2025,Invoiced,1.00,1138.00,1138.00
18/09/2025,PO3452,FM3445,ACTOM,23/09/2025,Invoiced,1.00,1138.00,1138.00
13/10/2025,PO3519,FM3531,ACTOM,14/10/2025,Invoiced,1.00,1138.00,1138.00
07/11/2025,PO3598,STOCK - 07-11-2025,ACTOM,10/11/2025,Invoiced,4.00,1138.00,4552.00
09/01/2026,PO3684,Stock Order - 09.01.2026,ACTOM,30/01/2026,Invoiced,2.00,1138.00,2276.00
13/02/2026,PO3772,Stock Order - 13.02.2026,ACTOM,20/02/2026,Invoiced,3.00,1248.00,3744.00
12/03/2026,PO3839,Stock Order - 12.03.2026,ACTOM,30/06/2026,Pending,6.00,1248.00,7488.00
Total for Item:,0.2543PM - 0.25kW 4P 380V Pad Mount Motor,,,,,35.00,,40820.00
0.3723PM - 0.37kW 2P 380V Pad Mount Motor
