Code,Description,Type,Category,Supplier,On Hand,Demand,Min,On Order,Lead,Status,   Avg Cost   , Total ,
.30 Duct,300mm Diameter-10 meter Long,,,,0,,,0,,, R1 500.00 ,   R                             -    ,
0.2543PM,0.25kW 4P 380V Pad Mount Motor,,,,0,,,0,,, R1 138.00 , R27 312.00 ,
0.3723PM,0.37kW 2P 380V Pad Mount Motor,,,,5,,,0,,, R1 182.31 , R52 021.64 ,
0.3741PM,0.37KW 4P 220V Pad Mount Motor,,,,0,,,0,,, R2 348.00 ,   R                             -    ,
0.3743PM,0.37kW 4P 380V Pad Mount Motor,,,,5,,,0,,, R1 253.88 , R48 901.32 ,
0.3763PM,0.37kW 6P 380V Pad Mount Motor,,,,0,,,0,,,   R                         -    ,   R                             -    ,
0.5523PM,0.55kW 2P 380V Pad Mount Motor,,,,0,,,0,,, R1 278.10 , R43 455.40 ,
0.552P,0.55Kw 2P 380V Pad Motor,,,,0,,,0,,, R1 359.00 , R1 359.00 ,
0.5543PM,0.55kW 4P 380V Pad Mount Motor,,,,6,,,0,,, R1 420.36 , R78 119.80 ,
0.5563PM,0.55kW 6P 380V Pad Mount Motor,,,,0,,,0,,,   R                         -    ,   R                             -    ,
0.7523PM,0.75kW 2P 380V Pad Mount Motor,,,,0,,,0,,, R1 570.33 , R23 554.95 ,
0.752P,0.75Kw 2Pole 380V Pad Mount,,,,0,,,0,,, R1 591.00 , R9 546.00 ,
0.7541FM,0.75Kw 220v Foot Mount,,,,0,,,0,,, R1 880.00 , R1 880.00 ,
0.7543PM,0.75kW 4P 380V Pad Mount Motor,,,,3,,,0,,, R1 384.43 , R45 686.19 ,
0.7563PM,0.75kW 6P 380V Pad Mount Motor,,,,0,,,0,,, R1 834.00 , R1 834.00 ,
0.75kW VSD,Variable Speed Controller,,,,0,,,0,,, R2 710.00 ,   R                             -    ,
10,SPARE MOTOR - TIRACAMINO - Vortice Spare Motor for Tiracamino 0.12kW 4P 230V,,,,0,,,0,,,   R                         -    ,   R                             -    ,
8,Majax-2 800 32-E-8 Belt drive c/w 4.0kw 4P 1150rpm 380V,,,,0,,,0,,,   R                         -    ,   R                             -    ,
9,HVF/75N c/w 0.24kW 750mm 220V,,,,0,,,0,,,   R                         -    ,   R                             -    ,
2880,PRA LOCKNUT BRASS No 0 & 1 - M20,,,,0,,,0,,, R4 276.18 , R12 828.54 ,
1 IP 65,Change IP Rating - Motor Size 90Watts 2Pole 380V to IP 65,,,,0,,,0,,, R1 004.00 , R4 016.00 ,
1.1.2Pad,1.1Kw 2P 380V Pad Mount Motor,,,,0,,,0,,, R1 670.29 , R21 713.77 ,
1.123PM,1.1kW 2P 380V Pad Mount Motor,,,,2,,,0,,, R1 714.87 , R30 867.66 ,
1.143FM,1.1kW 4P 400V B3 QL3,,,,0,,,0,,, R1 864.00 , R9 320.00 ,
1.143PM,1.1kW 4P 380V Pad Mount Motor,,,,0,,,0,,, R1 719.52 , R110 049.28 ,
1.163PM,1.1kW 6P 380V Pad Mount Motor,,,,0,,,0,,, R2 430.00 , R4 860.00 ,
1.5 kW 4Pole,380V VSD,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1.523PM,1.5kW 2P 380V Pad Mount Motor,,,,0,,,0,,, R1 847.00 , R24 011.00 ,
1.543PM,1.5kW 4P 380V Pad Mount Motor,,,,2,,,0,,, R2 822.33 , R124 182.52 ,
1.563PM,1.5kW 6P 380V Pad Mount Motor,,,,0,,,0,,, R2 681.00 , R26 810.00 ,
1.583PM,1.5KW 8P 380V Pad Mount Motor,,,,0,,,0,,, R2 853.04 , R2 853.04 ,
100/112 FR 27.8,100/112 Motor Frame - 27.8 mm OD Spacer,,,,0,,,0,,, R30.00 , R1 110.00 ,
1000 HDG,1000SC 1000mm Diam HDG Screen,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1000 ICS,Majax Inlet Cone & Screen,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1000 IMP,Impeller 1000Dia,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1000 LS,Louvre Shutter,,,,0,,,0,,,   R                         -    ,   R                             -    ,
1000 SIL,Inlet Silencer 1000 1.5D (1000mm Diameter to reduce noise on the dischargeside),,,,0,,,0,,,   R                         -    ,   R                             -    ,
1000 X 500 MM,Sand Trap Air Louver,,,,0,,,0,,,   R                         -    ,   R                             -    ,
