sep=,
"Name
                     
                    Date","Reference","Status","Description","Qty","Total Selling"
"AGILITY ENGINEERING SERVICES (PTY) LTD",,,,,
"18/03/2026","SO4469","Pending",,,
,,,"MAXFLO 710/150/10 A c/w 4,00KW 4P 380V","2","60824.4"
"Total for SO4469",,,,"2","60824.4"
"Total for AGILITY ENGINEERING SERVICES (PTY) LTD",,,,"2","60824.4"
"Apex Engineering (PTY) Ltd",,,,,
"04/03/2026","SO4427","Invoiced",,,
,,,"CMA-426-2M","1","11480"
"Total for SO4427",,,,"1","11480"
"Total for Apex Engineering (PTY) Ltd",,,,"1","11480"
"Arctic Air (Pty) Ltd",,,,,
"17/03/2026","SO4465","Invoiced",,,
,,,"HC-45-4M/H","2","11800"
"Total for SO4465",,,,"2","11800"
"Total for Arctic Air (Pty) Ltd",,,,"2","11800"
"Atlas Air Conditioning (Pty) Ltd",,,,,
"02/03/2026","SO4420","Invoiced",,,
,,,"RAD 150-FAN NO1","1","0"
"Total for SO4420",,,,"1","0"
"16/03/2026","SO4461","Invoiced",,,
,,,"RAD 150","1","0"
"Total for SO4461",,,,"1","0"
"16/03/2026","SO4462","Invoiced",,,
,,,"RAD 250","1","2306"
"Total for SO4462",,,,"1","2306"
"25/03/2026","SO4483","Pending",,,
,,,"MAJAX-3 500 c/w 0,37KW 4P 380V","1","6896.44"
"Total for SO4483",,,,"1","6896.44"
"Total for Atlas Air Conditioning (Pty) Ltd",,,,"4","9202.44"
"B & D Aircon and Ventilation (Pty) Ltd",,,,,
"05/03/2026","SO4429","Invoiced",,,
,,,"315 Diam Tube Silencer 600L","2","1768"
"Total for SO4429",,,,"2","1768"
"Total for B & D Aircon and Ventilation (Pty) Ltd",,,,"2","1768"
"BMT SMART SOLUTIONS (PTY) LTD",,,,,
"02/03/2026","SO4418","Invoiced",,,
,,,"MAXFLO 400/150/10 P c/w 1,10KW 2P 380V","2","13846"
,,,"400 Diam Silencer 1.5D Podded","4","8500"
,,,"400 Diam Counter Flange","4","1052"
,,,"400 Diam Mounting Feet","8","1128"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","16","1040"
"Total for SO4418",,,,"34","25566"
"02/03/2026","SO4419","Invoiced",,,
,,,"MAXFLO 400/150/10 P c/w 1,10KW 2P 380V","1","6923"
,,,"400 Diam Silencer 1.5D Podded","2","4250"
,,,"400 Diam Counter Flange","2","526"
,,,"400 Diam Mounting Feet","4","564"
,,,"315 to 560 NDA RED ANeoprene Floor Mounts","8","520"
"Total for SO4419",,,,"17","12783"
"Total for BMT SMART SOLUTIONS (PTY) LTD",,,,"51","38349"
"BirCraft Geared Motors Linear Actuators Controls t/a Bircraft cc",,,,,
"03/03/2026","SO4423","Invoiced",,,
,,,"CMP 616 2T","1","9382"
"Total for SO4423",,,,"1","9382"
"Total for BirCraft Geared Motors Linear Actuators Controls t/a Bircraft cc",,,,"1","9382"
"Butec",,,,,
"04/03/2026","SO4428","Invoiced",,,
,,,"RAD 315","1","0"
"Total for SO4428",,,,"1","0"
"Total for Butec",,,,"1","0"
"Cape Fans (Pty) Ltd",,,,,
"09/03/2026","SO4436","Invoiced",,,
,,,"CMP 512 2M","3","15750"
"Total for SO4436",,,,"3","15750"
"Total for Cape Fans (Pty) Ltd",,,,"3","15750"
"Celette SA (PTY) LTD",,,,,
"16/03/2026","SO4458","Invoiced",,,
,,,"AT 18/18 SC - Single Unit","1","7247"
"Total for SO4458",,,,"1","7247"
"Total for Celette SA (PTY) LTD",,,,"1","7247"
"Chabo & Joubert Air Conditioning (Pty) Ltd",,,,,
"12/03/2026","SO4448","Pending",,,
,,,"MAJAX 965 c/w 11,00KW 4P 525V - 2 Stage","2","73060"
"Total for SO4448",,,,"2","73060"
"Total for Chabo & Joubert Air Conditioning (Pty) Ltd",,,,"2","73060"
"Compu Cool (Pty) Ltd",,,,,
"06/03/2026","SO4434","Invoiced",,,
,,,"RAD 355","1","4167"
,,,"355 Diam Tube Silencer 600L","1","980"
"Total for SO4434",,,,"2","5147"
"13/03/2026","SO4437","Invoiced",,,
,,,"KDAXIS 350","1","1966"
"Total for SO4437",,,,"1","1966"
"11/03/2026","SO4443","Invoiced",,,
,,,"RAD 150","1","1453"
"Total for SO4443",,,,"1","1453"
"13/03/2026","SO4454","Invoiced",,,
,,,"RAD 200","1","2187"
"Total for SO4454",,,,"1","2187"
"Total for Compu Cool (Pty) Ltd",,,,"5","10753"
"Dual Lighting cc",,,,,
"24/03/2026","SO4480","Invoiced",,,
,,,"E 304 T ATEX II 2G/D h T3/125 X Gb/Db","2","25396"
"Total for SO4480",,,,"2","25396"
"Total for Dual Lighting cc",,,,"2","25396"
"Dueltron (Pty) Ltd",,,,,
"04/03/2026","SO4424","Invoiced",,,
,,,"FAN REFURBISHING","1","4865"
"Total for SO4424",,,,"1","4865"
"16/03/2026","SO4457","Invoiced",,,
,,,"315 X 70 Wide Radical Bladed Fan - Existing Inlet ring removed - New one Manufactured & re-assembled","1","4867"
,,,"Re-balance Impeller","1","0"
"Total for SO4457",,,,"2","4867"
"23/03/2026","SO4478","Pending",,,
,,,"MAXFLO 560/150/10 P c/w 0,55KW 4P 380V-Flame Proof","1","19046"
,,,"560 Diam Silencer 1.5D Podded","2","6818"
,,,"560 Diam Counter Flange","2","794"
,,,"560 Diam Mounting Feet","4","1036"
"Total for SO4478",,,,"9","27694"
"Total for Dueltron (Pty) Ltd",,,,"12","37426"
"EJ Stainless & Mildsteel Solutions",,,,,
"05/03/2026","SO4431","Invoiced",,,
,,,"450/150/9 Poly Prop Impeller - 24mm bore - 20deg (to suit 2.2Kw 2P) - FORM A","2","5208"
"Total for SO4431",,,,"2","5208"
"Total for EJ Stainless & Mildsteel Solutions",,,,"2","5208"
"Elmecair (Pty) Ltd",,,,,
"10/03/2026","SO4439","Invoiced",,,
,,,"LINEO 315 QUIET","1","12211"
"Total for SO4439",,,,"1","12211"
"Total for Elmecair (Pty) Ltd",,,,"1","12211"
"Fans Maintenance and More (Pty) Ltd",,,,,
"10/03/2026","SO4441","Invoiced",,,
,,,"KDAXIS 250","2","2424"
,,,"KDAXIS 350","2","3756"
"Total for SO4441",,,,"4","6180"
"Total for Fans Maintenance and More (Pty) Ltd",,,,"4","6180"
"Gibela Trade and Invest 1247 CC t/a GTI AIR",,,,,
"12/03/2026","SO4447","Invoiced",,,
,,,"MAJAX-3 630 c/w 7,50KW 2P 380V","1","13933"
"Total for SO4447",,,,"1","13933"
"Total for Gibela Trade and Invest 1247 CC t/a GTI AIR",,,,"1","13933"
"Hucra Fans",,,,,
"03/03/2026","SO4421","Invoiced",,,
,,,"Tiracamino Chimney Fan for Chimney Tops","1","12114"
"Total for SO4421",,,,"1","12114"
"06/03/2026","SO4435","Invoiced",,,
,,,"LINEO 250 QUIET","1","0"
"Total for SO4435",,,,"1","0"
"10/03/2026","SO4440","Pending",,,
,,,"SCL-K05 MS-2.2kW 380V","1","18442"
"Total for SO4440",,,,"1","18442"
"11/03/2026","SO4445","Invoiced",,,
,,,"KAZ 140","3","5730"
"Total for SO4445",,,,"3","5730"
"23/03/2026","SO4477","Invoiced",,,
